"sku";"old_oryginal_price";"oryginal_url"
"HGS12396-pap";"42.9700";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/starpak-muellsaecke-ldpe-140-l-110-cm-x-80-cm-schwarz"
"HGS12730";"48.3500";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-pe-ld-abfallsaecke-70-liter-gruen-34-my-typ-60"
"HGS400532";"55.0700";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-mit-seitenfalten-240-liter-blau-84-my-typ-100"
"HGS36519";"101.7700";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-first-plus-abfallbeutel-60-liter-weiss-23-my"
"HGS401214";"76.4000";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-120-liter-transparent-35-my-typ-60"
"HGS19002";"91.8000";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-premium-abfallsaecke-120-liter-transparent-40-my-typ-60"
"HGS12134-pap";"49.1700";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/starpak-muellsaecke-ldpe-120-l-110-cm-x-70-cm-schwarz-extra-stark-und-extra-reissfest"
"HGS410081";"73.2000";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-ulith-muelleimerbeutel-mit-zugband-60-liter-gruen-10-5-my"
"HGS10306";"84.2400";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-premium-abfallsaecke-120-liter-blau-44-my"
"HGS410231";"28.5500";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellbeutel-60-70-liter-weiss-8-my"
"HGS401425";"54.9900";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-120-liter-schwarz-38-my-typ-60"
"HGS93008";"163.0700";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-pe-ld-abfallsaecke-infektionswaesche-85-liter-gelb-85-my"
"HGS402215";"47.0400";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-70-liter-transparent-17-my-typ-20"
"HGS90059";"101.4600";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-premium-abfallsaecke-140-liter-blau-38-my"
"HGS410015";"48.9700";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-ulith-muelleimerbeutel-60-liter-transparent-7-my"
"HGS401523";"64.4400";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-70-liter-61-my-typ-80"
"HGS401542";"82.0700";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-120-liter-gelb-61-my-typ-80"
"HGS49908";"69.0600";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-universal-plus-abfallbeutel-60-liter-transparent-6-my"
"HGS410128";"53.3700";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-hostess-muellsaecke-mit-seitenfalten-60-80-liter-weiss-17-my-typ-30"
"HGS400349";"51.7200";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-profiline-muellsaecke-120-liter-blau-66-my-typ-100"
"HGSBS-120140-10";"172.3100";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/biomat-bio-abfallsaecke-120-liter-17-my"
"HGS400350";"69.0900";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-mit-seitenfalten-140-liter-blau-40-my-typ-60"
"HGS14196-pap";"50.2200";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/starpak-muellsaecke-mit-zugband-ldpe-60-l-75-cm-x-65-cm-grau"
"HGS11703";"122.3400";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-pe-ld-abfallsaecke-70-liter-rot-150-my"
"HGSBS-6080-10";"173.5000";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/biomat-bioabfallsack-60-80-20-my"
"HGS400534";"56.3200";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-mit-seitenfalten-180-liter-blau-56-my-typ-70"
"HGS400536";"63.0500";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-mit-seitenfalten-240-liter-blau-56-my-typ-70"
"HGS12132-pap";"49.1200";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/starpak-muellsaecke-ldpe-120-l-110-cm-x-70-cm-blau-extra-stark-und-extra-reissfest"
"HGSNB300";"53.3600";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/unger-niftynabber-bagger-muellsammler-180-liter"
"HGS400296";"63.3400";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-mit-zugband-120-liter-blau-38-my-typ-60"
"HGS99016";"195.0500";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-standard-abfallsaecke-240-liter-transparent-80-my"
"HGS400348";"61.1800";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-120-liter-blau-42-my-typ-70"
"HGS10052-pap";"60.1100";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/starpak-muellsaecke-mit-zugband-ldpe-120-l-100-cm-x-70-cm-schwarz"
"HGS12435-pap";"66.8200";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/starpak-muellsaecke-mit-zugband-hdpe-60-l-71-cm-x-64-cm-gelb"
"HGS400166";"45.0100";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-70-liter-blau-34-my-typ-60"
"HGSBS-4060-10";"183.0200";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/biomat-bioabfallsack-40-60-liter-20-my"
"HGS12133-pap";"51.4100";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/starpak-muellsaecke-ldpe-60-l-100-cm-x-57-cm-schwarz-extra-stark-und-extra-reissfest"
"HGS12330-pap";"37.6200";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/starpak-muellsaecke-ldpe-60-l-85-cm-x-60-cm-blau"
"HGS401763";"54.0700";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-120-liter-33-my-typ-60"
"HGS401512";"81.4400";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-120-liter-transparent-61-my-typ-80"
"HGS401718";"57.6700";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-120-liter-transparent-33-my-typ-60"
"HGS12447-pap";"49.1500";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/starpak-muellsaecke-ldpe-240-l-125-cm-x-100-cm-blau-extra-stark-und-extra-reissfest"
"HGS12458-pap";"47.1200";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/starpak-muellsaecke-hdpe-120-l-110-cm-x-70-cm-blau"
"HGS400196";"73.1400";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-120-liter-blau-54-my-typ-80"
"HGS11038-pap";"68.9700";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/starpak-auskleidesaecke-fuer-muelltonnen-120-l-110-cm-x-90-cm-schwarz"
"HGS995";"89.2500";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/tork-995-advanced-abfallsaecke-b1-70-liter-transparent-25-my"
"HGS401532";"86.7300";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-120-liter-rot-61-my-typ-80"
