sku;ean;old_oryginal_price;oryginal_url;new_sku;new_oryginal_url;new_ean;new_oryginal_price
HGS46928;4001553469289;31.6900;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-universal-plus-abfallbeutel-60-80-liter-weiss-8-my;HGS46928;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-universal-plus-abfallbeutel-60-80-liter-weiss-8-my;4001553469289;31.69
HGS36006;4001553360067;76.4500;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-pe-ld-abfallsaecke-90-liter-weiss-15-my;HGS36006;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-pe-ld-abfallsaecke-90-liter-weiss-15-my;4001553360067;76.45
HGS90099;4001553900997;79.7900;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-pe-ld-zugbandsaecke-120-liter-blau-50-my;HGS90099;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-pe-ld-zugbandsaecke-120-liter-blau-50-my;4001553900997;79.79
HGS20017;4001553200172;77.5000;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-pe-ld-abfallsaecke-120-liter-blau-50-my-typ-70;HGS20017;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-pe-ld-abfallsaecke-120-liter-blau-50-my-typ-70;4001553200172;77.50
HGS401591;4025648015915;35.8000;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-60-liter-schwarz-29-my-typ-40;HGS401591;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-60-liter-schwarz-29-my-typ-40;4025648015915;35.80
HGS6601;4025648003318;42.9200;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-70-liter-blau-30my;HGS06601;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-70-liter-blau-30my;4025648003318;42.92
HGS10115;4001553101158;136.9500;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-premium-abfallsaecke-240-liter-blau-100-my;HGS10115;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-premium-abfallsaecke-240-liter-blau-100-my;4001553101158;136.95
HGS20101;4001553201018;96.7800;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-pe-ld-abfallsaecke-240-liter-blau-75-my;HGS20101;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-pe-ld-abfallsaecke-240-liter-blau-75-my;4001553201018;96.78
HGS20013;4001553200134;63.7000;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-premium-plus-abfallsaecke-120-liter-blau-34-my;HGS20013;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-premium-plus-abfallsaecke-120-liter-blau-34-my;4001553200134;63.70
HGSBS-240-10;9007730000486;194.7600;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/biomat-bio-abfallsaecke-240-liter-17-my;HGSBS-240-10;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/biomat-bio-abfallsaecke-240-liter-17-my;9007730000486;194.76
HGS59024;4001553590242;42.1000;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-pe-hd-abfallbeutel-60-liter-transparent-5-my;HGS59024;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-pe-hd-abfallbeutel-60-liter-transparent-5-my;4001553590242;42.10
HGS401427;4025648014277;63.4700;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-120-liter-schwarz-65-my-typ-100;HGS401427;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-120-liter-schwarz-65-my-typ-100;4025648014277;63.47
HGS10010;4001553100106;98.7800;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-premium-abfallsaecke-120-liter-blau-70-my;HGS10010;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-premium-abfallsaecke-120-liter-blau-70-my;4001553100106;98.78
HGS20055D;4001553200554;55.5600;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-pe-ld-abfallsaecke-120-liter-32-my-typ-60-blau;HGS20055D;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-pe-ld-abfallsaecke-120-liter-32-my-typ-60-blau;4001553200554;55.56
HGS10708;4001553107082;71.5000;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-premium-abfallsaecke-70-liter-blau-40-my-typ-60;HGS10708;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-premium-abfallsaecke-70-liter-blau-40-my-typ-60;4001553107082;71.50
HGS10712;4001553107129;70.5200;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-premium-abfallsaecke-70-liter-60-my-blau;HGS10712;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-premium-abfallsaecke-70-liter-60-my-blau;4001553107129;70.52
HGS99129;4001553991292;96.4300;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-pe-ld-abfallsaecke-180-liter-transparent-60-my;HGS99129;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-pe-ld-abfallsaecke-180-liter-transparent-60-my;4001553991292;96.43
HGS10035;4001553100359;85.7900;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-premium-abfallsaecke-120-liter-60-my-blau;HGS10035;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-premium-abfallsaecke-120-liter-60-my-blau;4001553100359;85.79
HGS410017;4025648100178;51.0700;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-ulith-muellbeutel-60-liter-transparent-6-my;HGS410017;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-ulith-muellbeutel-60-liter-transparent-6-my;4025648100178;51.07
HGS10114;4001553101141;119.6400;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-premium-abfallsaecke-180-liter-blau-100-my;HGS10114;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-premium-abfallsaecke-180-liter-blau-100-my;4001553101141;119.64
HGS90306-pap;4250065993069;41.5900;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/starpak-muellsaecke-ldpe-blauer-engel-240-l-145-cm-x-120-cm-schwarz;HGS;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/starpak-muellsaecke-ldpe-blauer-engel-240-l-145-cm-x-120-cm-schwarz;;brak ceny
HGS46923;4001553469234;56.8200;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-universal-plus-abfallbeutel-60-80-liter-weiss-10-my;HGS46923;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-universal-plus-abfallbeutel-60-80-liter-weiss-10-my;4001553469234;56.82
HGS12396-pap;4002911223963;43.5900;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/starpak-muellsaecke-ldpe-140-l-110-cm-x-80-cm-schwarz;HGS12396-pap;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/starpak-muellsaecke-ldpe-140-l-110-cm-x-80-cm-schwarz;4002911223963;43.59
HGS12730;4001553127301;52.0300;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-pe-ld-abfallsaecke-70-liter-gruen-34-my-typ-60;HGS12730;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-pe-ld-abfallsaecke-70-liter-gruen-34-my-typ-60;4001553127301;52.03
HGS400532;4025648005329;59.2600;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-mit-seitenfalten-240-liter-blau-84-my-typ-100;HGS400532;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-mit-seitenfalten-240-liter-blau-84-my-typ-100;4025648005329;59.26
HGS36519;4001553365192;109.5200;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-first-plus-abfallbeutel-60-liter-weiss-23-my;HGS36519;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-first-plus-abfallbeutel-60-liter-weiss-23-my;4001553365192;109.52
HGS401214;4025648012143;61.4600;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-120-liter-transparent-35-my-typ-60;HGS401719;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-120-liter-transparent-35-my-typ-60;4025648017193;61.46
HGS19002;4001553190022;99.5800;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-premium-abfallsaecke-120-liter-transparent-40-my-typ-60;HGS19002;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-premium-abfallsaecke-120-liter-transparent-40-my-typ-60;4001553190022;99.58
