id;sku;oryginal_url;new_sku;new_ean;new_oryginal_price;new_oryginal_url
3;HGS14024;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-premium-abfallsaecke-120-liter-37-my-grau;HGS14024;4001553140249;74.09;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-premium-abfallsaecke-120-liter-37-my-grau
4;HGS16001;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-premium-abfallsaecke-120-liter-37-my-weiss;HGS16001;4001553160018;86.63;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-premium-abfallsaecke-120-liter-37-my-weiss
7;HGS10900;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-ecofine-abfallsaecke-120-liter-25-my-typ-60-blau;HGS10900;4001553109000;55.09;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-ecofine-abfallsaecke-120-liter-25-my-typ-60-blau
10;HGS19900;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-ecofine-abfallsaecke-120-liter-25-my-typ-60-transparent;HGS19900;4001553199001;61.11;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-ecofine-abfallsaecke-120-liter-25-my-typ-60-transparent
13;HGS29005;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-pe-ld-abfallsaecke-120-liter-32-my-typ-60-transparent;HGS29005;4001553290050;73.34;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-pe-ld-abfallsaecke-120-liter-32-my-typ-60-transparent
16;HGS12705;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-premium-abfallsaecke-70-liter-60-my-gruen;HGS12705;4001553127059;79.21;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-premium-abfallsaecke-70-liter-60-my-gruen
18;HGS19706;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-premium-abfallsaecke-70-liter-60-my-transparent;HGS19706;4001553197069;102.83;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-premium-abfallsaecke-70-liter-60-my-transparent
20;HGS11002;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-premium-abfallsaecke-120-liter-60-my-rot;HGS11002;4001553110020;94.20;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-premium-abfallsaecke-120-liter-60-my-rot
23;HGS14005;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-premium-abfallsaecke-120-liter-60-my-grau;HGS14005;4001553140058;93.58;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-premium-abfallsaecke-120-liter-60-my-grau
28;HGS401748;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-120-liter-33-my-typ-60-gelb;HGS401748;4025648017483;58.19;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-120-liter-33-my-typ-60-gelb
